Year,Item,Item Code (CPC),Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha
1968,Oranges,1323,2500.0,8500.0,34000.0
1968,Papayas,1317,2900.0,30000.0,103448.0
1968,Pineapples,1318,500.0,14900.0,298000.0
1968,Plantains and cooking bananas,1313,1000.0,10000.0,100000.0
1968,Pomelos and grapefruits,1321,500.0,3600.0,72000.0
1968,Potatoes,1510,27500.0,195000.0,70909.0
1968,"Pyrethrum, dried flowers",1930.02,31000.0,11236.0,3625.0
1968,Rice,113,3440.0,18747.0,54497.0
1968,"Seed cotton, unginned",1921.01,65000.0,14590.0,2245.0
1968,Sesame seed,1444,7500.0,3000.0,4000.0
1968,Sorghum,114,205000.0,220000.0,10732.0
1968,Sugar cane,1802,26547.0,1137181.0,428365.0
1968,Sunflower seed,1445,2873.0,3445.0,11991.0
1968,Sweet potatoes,1530,29000.0,210000.0,72414.0
1968,Tea leaves,1620,33562.0,29764.0,8868.0
1968,Tomatoes,1234,2430.0,39000.0,160494.0
1968,Unmanufactured tobacco,1970,500.0,80.0,1600.0
1968,Wheat,111,133100.0,216300.0,16251.0
1969,Apricots,1343,2.0,10.0,50000.0
1969,Avocados,1311,1100.0,16000.0,145455.0
1969,Bananas,1312,40000.0,400000.0,100000.0
1969,Barley,115,9477.0,11274.0,11896.0
1969,"Beans, dry",1701,125000.0,70000.0,5600.0
1969,"Beer of barley, malted",24310.01,,64757.0,
1969,"Cashew nuts, in shell",1372,20000.0,7200.0,3600.0
1969,"Cassava, fresh",1520.01,63000.0,500000.0,79365.0
1969,Castor oil seeds,1447,15000.0,4020.0,2680.0
1969,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1652,3300.0,2500.0,7576.0
1969,"Cloves (whole stems), raw",1656,65.0,20.0,3077.0
1969,"Coconuts, in shell",1460,17000.0,75000.0,44118.0
1969,"Coffee, green",1610,84983.0,52400.0,6166.0
1969,"Cotton lint, ginned",1921.02,,5646.0,
1969,Cotton seed,143,,11293.0,
1969,Cottonseed oil,2168,,1550.3,
1969,Dates,1314,250.0,700.0,28000.0
1969,Green garlic,1252,14.0,200.0,142857.0
1969,"Groundnuts, excluding shelled",142,4000.0,2254.0,5635.0
1969,Linseed,1441,240.0,240.0,10000.0
1969,Maize (corn),112,1350000.0,1720000.0,12741.0
1969,"Mangoes, guavas and mangosteens",1316,250.0,1000.0,40000.0
1969,Millet,118,75000.0,120000.0,16000.0
1969,Oats,117,4614.0,3700.0,8019.0
1969,"Onions and shallots, dry (excluding dehydrated)",1253.02,1400.0,3600.0,25714.0
1969,Oranges,1323,2500.0,9000.0,36000.0
1969,Papayas,1317,2900.0,30000.0,103448.0
1969,Pineapples,1318,600.0,17100.0,285000.0
1969,Plantains and cooking bananas,1313,1000.0,10000.0,100000.0
1969,Pomelos and grapefruits,1321,500.0,3700.0,74000.0
1969,Potatoes,1510,28000.0,200000.0,71429.0
1969,"Pyrethrum, dried flowers",1930.02,25000.0,7423.0,2969.0
1969,Rice,113,4923.0,22700.0,46110.0
1969,"Seed cotton, unginned",1921.01,64749.0,17111.0,2643.0
