Region,Item,Year,season_name,area,production,yield,yield_hg_per_ha,Temperature - (Celsius),Rainfall - (MM),pesticides_hg_per_ha
Elgeyo-Marakwet,Sorghum,2018,Annual,945.0,931.5,0.9857142857142858,9857.142857142857,25.118588141025644,657.6096580769231,45.44689058100501
Elgeyo-Marakwet,Sorghum,2019,Annual,325.0,393.0,1.2092307692307693,12092.307692307693,25.118588141025644,657.6096580769231,42.858547361032926
Elgeyo-Marakwet,Sorghum,2020,Annual,740.0,915.0,1.2364864864864864,12364.864864864863,25.118588141025644,657.6096580769231,43.33572360155025
Elgeyo-Marakwet,Tea,2018,Annual,99.0,8055.5,81.36868686868686,813686.8686868687,25.118588141025644,657.6096580769231,44.15460456893779
Elgeyo-Marakwet,Tea,2019,Annual,99.0,5348.0,54.02020202020202,540202.0202020202,25.118588141025644,657.6096580769231,45.56198301468725
Elgeyo-Marakwet,Tea,2020,Annual,119.0,10763.0,90.4453781512605,904453.781512605,25.118588141025644,657.6096580769231,45.69550240919389
Elgeyo-Marakwet,Wheat,2000,Annual,2800.0,7408.0,2.645714285714286,26457.14285714286,24.904749999999996,448.51506,36.24258797989815
Elgeyo-Marakwet,Wheat,2001,Annual,3160.0,7875.0,2.492088607594937,24920.88607594937,25.095758333333333,622.51956,34.22812133076184
Elgeyo-Marakwet,Wheat,2002,Annual,2922.0,7854.0,2.6878850102669403,26878.850102669403,25.478066666666667,780.8529000000001,38.08740003775138
Elgeyo-Marakwet,Wheat,2003,Annual,2922.0,5550.0,1.8993839835728952,18993.83983572895,25.45435833333333,616.82425,40.93447056959599
Elgeyo-Marakwet,Wheat,2004,Annual,1900.0,3068.0,1.6147368421052632,16147.368421052632,25.31244166666667,552.587,40.14466291214583
Elgeyo-Marakwet,Wheat,2005,Annual,3772.0,9724.0,2.5779427359490987,25779.427359490986,25.32981666666667,434.6067,41.12611438205335
Elgeyo-Marakwet,Wheat,2012,Annual,81.0,218.7,2.6999999999999997,26999.999999999996,25.24515,756.213,41.61101006776329
Elgeyo-Marakwet,Wheat,2013,Annual,105.0,284.0,2.704761904761905,27047.61904761905,25.182175,769.6913999999999,42.37095753055328
Elgeyo-Marakwet,Wheat,2014,Annual,415.0,837.0,2.016867469879518,20168.67469879518,25.41145,614.6785,43.86844841478259
Elgeyo-Marakwet,Wheat,2015,Annual,435.0,849.0,1.9517241379310344,19517.241379310344,25.537633333333332,771.9757,44.35241624441456
Elgeyo-Marakwet,Wheat,2016,Annual,290.0,470.0,1.6206896551724137,16206.896551724138,25.756608333333332,715.2022,43.56737670312684
Elgeyo-Marakwet,Wheat,2017,Annual,376.0,1118.0,2.973404255319149,29734.042553191488,25.118588141025644,657.6096580769231,43.02921028862868
Elgeyo-Marakwet,Wheat,2018,Annual,226.0,612.0,2.7079646017699117,27079.646017699117,25.118588141025644,657.6096580769231,45.26347426967527
Elgeyo-Marakwet,Wheat,2019,Annual,191.0,496.0,2.5968586387434556,25968.586387434556,25.118588141025644,657.6096580769231,45.011713752170465
Elgeyo-Marakwet,Wheat,2020,Annual,177.0,560.0,3.1638418079096047,31638.418079096045,25.118588141025644,657.6096580769231,46.462062935952986
Embu,Maize,2000,Annual,36275.0,41797.9297929793,1.1522516827837161,11522.516827837162,24.904749999999996,448.51506,37.47770549823998
Embu,Maize,2000,Long,2600.0,468.0,0.18,1800.0,24.95515,243.4279,36.03125656925699
Embu,Maize,2001,Annual,39200.0,52594.05940594,1.341685188927041,13416.851889270409,25.095758333333333,622.51956,35.67019044073462
Embu,Maize,2001,Long,11875.0,22893.75,1.9278947368421053,19278.947368421053,24.650216666666665,320.875,36.72864587980285
Embu,Maize,2002,Annual,38980.0,48002.10621062,1.2314547514268854,12314.547514268854,25.478066666666667,780.8529000000001,38.21902722717428
Embu,Maize,2003,Annual,29650.0,19446.44464446,0.6558665984640809,6558.665984640809,25.45435833333333,616.82425,39.81029257394592
Embu,Maize,2004,Annual,50500.0,35103.51035104,0.6951190168522773,6951.190168522773,25.31244166666667,552.587,42.87526182080825
Embu,Maize,2005,Annual,46072.0,49493.24932493,1.0742587542309863,10742.587542309862,25.32981666666667,434.6067,42.651875406886475
Embu,Maize,2012,Annual,26820.0,35104.86,1.3089060402684565,13089.060402684565,25.24515,756.213,39.44822188437535
Embu,Maize,2013,Annual,26720.0,26610.93,0.9959180389221557,9959.180389221558,25.182175,769.6913999999999,40.86000977996184
Embu,Maize,2014,Annual,38699.0,49156.0,1.270213700612419,12702.13700612419,25.41145,614.6785,41.274144564494534
Embu,Maize,2015,Annual,24686.0,16104.0,0.6523535607226768,6523.535607226768,25.537633333333332,771.9757,43.812474703375806
Embu,Maize,2015,Long,21194.0,29446.0,1.389355477965462,13893.55477965462,25.183083333333332,395.9493,41.454814095123524
Embu,Maize,2016,Annual,36275.0,28378.0,0.7823018607856651,7823.018607856651,25.756608333333332,715.2022,44.036244494645935
Embu,Maize,2016,Long,20190.0,27273.6,1.3508469539375927,13508.469539375927,25.4447,362.85080000000005,44.37670009387979
Embu,Maize,2017,Annual,35812.0,32113.19,0.8967159052831453,8967.159052831452,25.118588141025644,657.6096580769231,42.998232745709544
Embu,Maize,2017,Long,25795.0,37545.3,1.4555262647799962,14555.262647799962,24.90115897435897,347.44985384615387,44.33517276001218
